ID,Distance,Path
001 001,0,['001']
001 002,1,"['001', '002']"
001 003,1,"['001', '003']"
001 004,1,"['001', '004']"
001 005,1,"['001', '005']"
001 006,1,"['001', '006']"
001 007,1,"['001', '007']"
001 008,1,"['001', '008']"
001 009,1,"['001', '009']"
001 010,1,"['001', '010']"
001 011,1,"['001', '011']"
001 012,1,"['001', '012']"
001 013,1,"['001', '013']"
001 014,2,"['001', '004', '014']"
001 015,1,"['001', '015']"
001 016,1,"['001', '016']"
001 017,1,"['001', '017']"
001 018,1,"['001', '018']"
001 019,1,"['001', '019']"
001 020,1,"['001', '020']"
001 021,1,"['001', '021']"
001 022,1,"['001', '022']"
001 023,1,"['001', '023']"
001 024,1,"['001', '024']"
001 025,1,"['001', '025']"
001 026,1,"['001', '026']"
001 027,1,"['001', '027']"
001 028,1,"['001', '028']"
001 029,1,"['001', '029']"
001 030,1,"['001', '030']"
001 031,1,"['001', '031']"
001 032,1,"['001', '032']"
001 033,1,"['001', '033']"
001 034,1,"['001', '034']"
001 035,1,"['001', '035']"
001 036,1,"['001', '036']"
001 037,1,"['001', '037']"
001 038,1,"['001', '038']"
001 039,1,"['001', '039']"
001 040,2,"['001', '004', '040']"
001 041,1,"['001', '041']"
001 042,1,"['001', '042']"
001 043,1,"['001', '043']"
001 044,1,"['001', '044']"
001 045,1,"['001', '045']"
001 046,1,"['001', '046']"
001 047,1,"['001', '047']"
001 048,1,"['001', '048']"
001 049,1,"['001', '049']"
001 050,2,"['001', '009', '050']"
001 051,1,"['001', '051']"
001 052,1,"['001', '052']"
001 053,1,"['001', '053']"
001 054,1,"['001', '054']"
001 055,1,"['001', '055']"
001 056,1,"['001', '056']"
001 057,1,"['001', '057']"
001 058,1,"['001', '058']"
001 059,1,"['001', '059']"
001 060,1,"['001', '060']"
001 061,1,"['001', '061']"
001 062,1,"['001', '062']"
001 063,2,"['001', '003', '063']"
001 064,1,"['001', '064']"
001 065,1,"['001', '065']"
001 066,1,"['001', '066']"
001 067,1,"['001', '067']"
001 068,1,"['001', '068']"
001 069,1,"['001', '069']"
001 070,1,"['001', '070']"
001 071,1,"['001', '071']"
001 072,2,"['001', '004', '072']"
001 073,1,"['001', '073']"
001 074,1,"['001', '074']"
001 075,1,"['001', '075']"
001 076,1,"['001', '076']"
001 077,1,"['001', '077']"
001 078,1,"['001', '078']"
001 079,1,"['001', '079']"
001 080,1,"['001', '080']"
001 081,1,"['001', '081']"
001 082,1,"['001', '082']"
001 083,1,"['001', '083']"
001 084,1,"['001', '084']"
001 085,2,"['001', '009', '085']"
001 086,1,"['001', '086']"
001 087,1,"['001', '087']"
001 088,1,"['001', '088']"
001 089,1,"['001', '089']"
001 090,1,"['001', '090']"
001 091,1,"['001', '091']"
001 092,1,"['001', '092']"
001 093,1,"['001', '093']"
001 094,1,"['001', '094']"
001 095,1,"['001', '095']"
001 096,2,"['001', '004', '096']"
001 097,2,"['001', '004', '097']"
001 098,2,"['001', '003', '098']"
001 099,2,"['001', '003', '099']"
001 100,2,"['001', '003', '100']"
001 101,2,"['001', '003', '101']"
001 102,2,"['001', '003', '102']"
001 103,1,"['001', '103']"
001 104,1,"['001', '104']"
001 105,1,"['001', '105']"
001 106,1,"['001', '106']"
001 107,1,"['001', '107']"
001 108,1,"['001', '108']"
001 109,1,"['001', '109']"
001 110,1,"['001', '110']"
001 111,1,"['001', '111']"
001 112,1,"['001', '112']"
001 113,1,"['001', '113']"
001 114,1,"['001', '114']"
002 001,1,"['002', '001']"
002 002,0,['002']
002 003,1,"['002', '003']"
002 004,1,"['002', '004']"
002 005,2,"['002', '001', '005']"
002 006,2,"['002', '001', '006']"
002 007,1,"['002', '007']"
002 008,2,"['002', '001', '008']"
002 009,2,"['002', '001', '009']"
002 010,2,"['002', '001', '010']"
002 011,1,"['002', '011']"
002 012,2,"['002', '001', '012']"
002 013,1,"['002', '013']"
002 014,2,"['002', '004', '014']"
002 015,1,"['002', '015']"
002 016,2,"['002', '001', '016']"
002 017,2,"['002', '001', '017']"
002 018,2,"['002', '001', '018']"
002 019,2,"['002', '001', '019']"
002 020,1,"['002', '020']"
002 021,2,"['002', '001', '021']"
002 022,1,"['002', '022']"
002 023,1,"['002', '023']"
002 024,1,"['002', '024']"
002 025,2,"['002', '001', '025']"
002 026,1,"['002', '026']"
002 027,1,"['002', '027']"
002 028,1,"['002', '028']"
002 029,1,"['002', '029']"
002 030,1,"['002', '030']"
002 031,1,"['002', '031']"
002 032,1,"['002', '032']"
002 033,1,"['002', '033']"
002 034,1,"['002', '034']"
002 035,1,"['002', '035']"
002 036,1,"['002', '036']"
002 037,1,"['002', '037']"
002 038,2,"['002', '001', '038']"
002 039,2,"['002', '001', '039']"
002 040,2,"['002', '004', '040']"
002 041,2,"['002', '001', '041']"
002 042,2,"['002', '001', '042']"
002 043,2,"['002', '001', '043']"
002 044,2,"['002', '001', '044']"
002 045,2,"['002', '001', '045']"
