ID,Source,Target,Distance,Path
1,001,001,0,['001']
2,001,002,1,"['001', '002']"
3,001,003,1,"['001', '003']"
4,001,004,1,"['001', '004']"
5,001,005,1,"['001', '005']"
6,001,006,1,"['001', '006']"
7,001,007,1,"['001', '007']"
8,001,008,1,"['001', '008']"
9,001,009,1,"['001', '009']"
10,001,010,1,"['001', '010']"
11,001,011,1,"['001', '011']"
12,001,012,1,"['001', '012']"
13,001,013,1,"['001', '013']"
14,001,014,2,"['001', '004', '014']"
15,001,015,1,"['001', '015']"
16,001,016,1,"['001', '016']"
17,001,017,1,"['001', '017']"
18,001,018,1,"['001', '018']"
19,001,019,1,"['001', '019']"
20,001,020,1,"['001', '020']"
21,001,021,1,"['001', '021']"
22,001,022,1,"['001', '022']"
23,001,023,1,"['001', '023']"
24,001,024,1,"['001', '024']"
25,001,025,1,"['001', '025']"
26,001,026,1,"['001', '026']"
27,001,027,1,"['001', '027']"
28,001,028,1,"['001', '028']"
29,001,029,1,"['001', '029']"
30,001,030,1,"['001', '030']"
31,001,031,1,"['001', '031']"
32,001,032,1,"['001', '032']"
33,001,033,1,"['001', '033']"
34,001,034,1,"['001', '034']"
35,001,035,1,"['001', '035']"
36,001,036,1,"['001', '036']"
37,001,037,1,"['001', '037']"
38,001,038,1,"['001', '038']"
39,001,039,1,"['001', '039']"
40,001,040,2,"['001', '004', '040']"
41,001,041,1,"['001', '041']"
42,001,042,1,"['001', '042']"
43,001,043,1,"['001', '043']"
44,001,044,1,"['001', '044']"
45,001,045,1,"['001', '045']"
46,001,046,1,"['001', '046']"
47,001,047,1,"['001', '047']"
48,001,048,1,"['001', '048']"
49,001,049,1,"['001', '049']"
50,001,050,2,"['001', '009', '050']"
51,001,051,1,"['001', '051']"
52,001,052,1,"['001', '052']"
53,001,053,1,"['001', '053']"
54,001,054,1,"['001', '054']"
55,001,055,1,"['001', '055']"
56,001,056,1,"['001', '056']"
57,001,057,1,"['001', '057']"
58,001,058,1,"['001', '058']"
59,001,059,1,"['001', '059']"
60,001,060,1,"['001', '060']"
61,001,061,1,"['001', '061']"
62,001,062,1,"['001', '062']"
63,001,063,2,"['001', '003', '063']"
64,001,064,1,"['001', '064']"
65,001,065,1,"['001', '065']"
66,001,066,1,"['001', '066']"
67,001,067,1,"['001', '067']"
68,001,068,1,"['001', '068']"
69,001,069,1,"['001', '069']"
70,001,070,1,"['001', '070']"
71,001,071,1,"['001', '071']"
72,001,072,2,"['001', '004', '072']"
73,001,073,1,"['001', '073']"
74,001,074,1,"['001', '074']"
75,001,075,1,"['001', '075']"
76,001,076,1,"['001', '076']"
77,001,077,1,"['001', '077']"
78,001,078,1,"['001', '078']"
79,001,079,1,"['001', '079']"
80,001,080,1,"['001', '080']"
81,001,081,1,"['001', '081']"
82,001,082,1,"['001', '082']"
83,001,083,1,"['001', '083']"
84,001,084,1,"['001', '084']"
85,001,085,2,"['001', '009', '085']"
86,001,086,1,"['001', '086']"
87,001,087,1,"['001', '087']"
88,001,088,1,"['001', '088']"
89,001,089,1,"['001', '089']"
90,001,090,1,"['001', '090']"
91,001,091,1,"['001', '091']"
92,001,092,1,"['001', '092']"
93,001,093,1,"['001', '093']"
94,001,094,1,"['001', '094']"
95,001,095,1,"['001', '095']"
96,001,096,2,"['001', '004', '096']"
97,001,097,2,"['001', '004', '097']"
98,001,098,2,"['001', '003', '098']"
99,001,099,2,"['001', '003', '099']"
100,001,100,2,"['001', '003', '100']"
101,001,101,2,"['001', '003', '101']"
102,001,102,2,"['001', '003', '102']"
103,001,103,1,"['001', '103']"
104,001,104,1,"['001', '104']"
105,001,105,1,"['001', '105']"
106,001,106,1,"['001', '106']"
107,001,107,1,"['001', '107']"
108,001,108,1,"['001', '108']"
109,001,109,1,"['001', '109']"
110,001,110,1,"['001', '110']"
111,001,111,1,"['001', '111']"
112,001,112,1,"['001', '112']"
113,001,113,1,"['001', '113']"
114,001,114,1,"['001', '114']"
115,002,001,1,"['002', '001']"
116,002,002,0,['002']
117,002,003,1,"['002', '003']"
118,002,004,1,"['002', '004']"
119,002,005,2,"['002', '001', '005']"
120,002,006,2,"['002', '001', '006']"
121,002,007,1,"['002', '007']"
122,002,008,2,"['002', '001', '008']"
123,002,009,2,"['002', '001', '009']"
124,002,010,2,"['002', '001', '010']"
125,002,011,1,"['002', '011']"
126,002,012,2,"['002', '001', '012']"
127,002,013,1,"['002', '013']"
128,002,014,2,"['002', '004', '014']"
129,002,015,1,"['002', '015']"
130,002,016,2,"['002', '001', '016']"
131,002,017,2,"['002', '001', '017']"
132,002,018,2,"['002', '001', '018']"
133,002,019,2,"['002', '001', '019']"
134,002,020,1,"['002', '020']"
135,002,021,2,"['002', '001', '021']"
136,002,022,1,"['002', '022']"
137,002,023,1,"['002', '023']"
138,002,024,1,"['002', '024']"
139,002,025,2,"['002', '001', '025']"
140,002,026,1,"['002', '026']"
141,002,027,1,"['002', '027']"
142,002,028,1,"['002', '028']"
143,002,029,1,"['002', '029']"
144,002,030,1,"['002', '030']"
145,002,031,1,"['002', '031']"
146,002,032,1,"['002', '032']"
147,002,033,1,"['002', '033']"
148,002,034,1,"['002', '034']"
149,002,035,1,"['002', '035']"
150,002,036,1,"['002', '036']"
151,002,037,1,"['002', '037']"
152,002,038,2,"['002', '001', '038']"
153,002,039,2,"['002', '001', '039']"
154,002,040,2,"['002', '004', '040']"
155,002,041,2,"['002', '001', '041']"
156,002,042,2,"['002', '001', '042']"
157,002,043,2,"['002', '001', '043']"
158,002,044,2,"['002', '001', '044']"
159,002,045,2,"['002', '001', '045']"
160,002,046,2,"['002', '001', '046']"
161,002,047,2,"['002', '001', '047']"
162,002,048,2,"['002', '001', '048']"
163,002,049,2,"['002', '001', '049']"
164,002,050,3,"['002', '001', '009', '050']"
165,002,051,2,"['002', '001', '051']"
166,002,052,2,"['002', '001', '052']"
167,002,053,2,"['002', '001', '053']"
168,002,054,2,"['002', '001', '054']"
169,002,055,2,"['002', '001', '055']"
170,002,056,2,"['002', '001', '056']"
171,002,057,2,"['002', '001', '057']"
172,002,058,1,"['002', '058']"
173,002,059,1,"['002', '059']"
174,002,060,1,"['002', '060']"
175,002,061,1,"['002', '061']"
176,002,062,2,"['002', '001', '062']"
177,002,063,2,"['002', '003', '063']"
178,002,064,2,"['002', '001', '064']"
179,002,065,2,"['002', '001', '065']"
180,002,066,2,"['002', '001', '066']"
181,002,067,2,"['002', '001', '067']"
182,002,068,2,"['002', '001', '068']"
183,002,069,2,"['002', '001', '069']"
184,002,070,2,"['002', '001', '070']"
